No,House Age,Distance to MRT,Number of Food Places,House Price Per Unit Area
1,32,84.87882,10,37.9
2,19.5,306.5947,9,42.2
3,13.3,561.9845,5,47.3
4,13.3,561.9845,5,54.8
5,5,390.5684,5,43.1
6,7.1,2175.03,3,32.1
7,34.5,623.4731,7,40.3
8,20.3,287.6025,6,46.7
9,31.7,5512.038,1,18.8
10,17.9,1783.18,3,22.1
11,34.8,405.2134,1,41.4
12,6.3,90.45606,9,58.1
13,13,492.2313,5,39.3
14,20.4,2469.645,4,23.8
15,13.2,1164.838,4,34.3
16,35.7,579.2083,2,50.5
17,0,292.9978,6,70.1
18,17.7,350.8515,1,37.4
19,16.9,368.1363,8,42.3
20,1.5,23.38284,7,47.7
21,4.5,2275.877,3,29.3
22,10.5,279.1726,7,51.6
23,14.7,1360.139,1,24.6
24,10.1,279.1726,7,47.9
25,39.6,480.6977,4,38.8
26,29.3,1487.868,2,27
27,3.1,383.8624,5,56.2
28,10.4,276.449,5,33.6
29,19.2,557.478,4,47
30,7.1,451.2438,5,57.1
31,25.9,4519.69,0,22.1
32,29.6,769.4034,7,25
33,37.9,488.5727,1,34.2
34,16.5,323.655,6,49.3
35,15.4,205.367,7,55.1
36,13.9,4079.418,0,27.3
37,14.7,1935.009,2,22.9
38,12,1360.139,1,25.3
39,3.1,577.9615,6,47.7
40,16.2,289.3248,5,46.2
41,13.6,4082.015,0,15.9
42,16.8,4066.587,0,18.2
43,36.1,519.4617,5,34.7
44,34.4,512.7871,6,34.1
45,2.7,533.4762,4,53.9
46,36.6,488.8193,8,38.3
47,21.7,463.9623,9,42
48,35.9,640.7391,3,61.5
49,24.2,4605.749,0,13.4
50,29.4,4510.359,1,13.2
51,21.7,512.5487,4,44.2
52,31.3,1758.406,1,20.7
53,32.1,1438.579,3,27
54,13.3,492.2313,5,38.9
55,16.1,289.3248,5,51.7
56,31.7,1160.632,0,13.7
57,33.6,371.2495,8,41.9
58,3.5,56.47425,7,53.5
59,30.3,4510.359,1,22.6
60,13.3,336.0532,5,42.4
61,11,1931.207,2,21.3
62,5.3,259.6607,6,63.2
63,17.2,2175.877,3,27.7
64,2.6,533.4762,4,55
65,17.5,995.7554,0,25.3
66,40.1,123.7429,8,44.3
67,1,193.5845,6,50.7
68,8.5,104.8101,5,56.8
