Date,Open,High,Low,Close,Adj Close,Volume
2021-01-25,2.470000,2.490000,2.450000,2.450000,2.450000,21930300
2021-01-26,2.460000,2.460000,2.410000,2.430000,2.430000,23661900
2021-01-27,2.430000,2.430000,2.380000,2.400000,2.400000,27738300
2021-01-28,2.390000,2.390000,2.360000,2.380000,2.380000,32945400
2021-01-29,2.380000,2.390000,2.350000,2.360000,2.360000,38185600
2021-02-01,2.350000,2.350000,2.300000,2.320000,2.320000,53007000
2021-02-02,2.320000,2.370000,2.320000,2.360000,2.360000,47803600
2021-02-03,2.380000,2.390000,2.370000,2.370000,2.370000,18506000
2021-02-04,2.360000,2.370000,2.310000,2.320000,2.320000,47515700
2021-02-05,2.330000,2.350000,2.320000,2.330000,2.330000,27333900
2021-02-08,2.340000,2.360000,2.330000,2.350000,2.350000,34744800
2021-02-09,2.360000,2.410000,2.350000,2.410000,2.410000,39814600
2021-02-10,2.420000,2.430000,2.380000,2.400000,2.400000,21356700
2021-02-11,2.390000,2.390000,2.370000,2.380000,2.380000,9378200
2021-02-15,2.390000,2.420000,2.380000,2.400000,2.400000,17170500
2021-02-16,2.420000,2.430000,2.410000,2.420000,2.420000,17848300
2021-02-17,2.400000,2.420000,2.400000,2.400000,2.400000,10544600
2021-02-18,2.390000,2.400000,2.330000,2.360000,2.360000,41818500
2021-02-19,2.350000,2.360000,2.340000,2.350000,2.350000,19532200
2021-02-22,2.340000,2.370000,2.330000,2.350000,2.350000,27925550
2021-02-23,2.340000,2.380000,2.340000,2.360000,2.360000,29077200
2021-02-24,2.370000,2.390000,2.360000,2.380000,2.380000,26444700
2021-02-25,2.390000,2.400000,2.370000,2.380000,2.380000,36072100
2021-02-26,2.340000,2.360000,2.330000,2.350000,2.350000,46227700
2021-03-01,2.340000,2.360000,2.330000,2.340000,2.340000,26245400
2021-03-02,2.350000,2.360000,2.330000,2.330000,2.330000,24100900
2021-03-03,2.340000,2.360000,2.330000,2.340000,2.340000,23224700
2021-03-04,2.330000,2.360000,2.330000,2.350000,2.350000,17658200
2021-03-05,2.340000,2.350000,2.330000,2.350000,2.350000,20601800
2021-03-08,2.360000,2.370000,2.340000,2.340000,2.340000,28681800
2021-03-09,2.350000,2.370000,2.350000,2.370000,2.370000,26320800
2021-03-10,2.370000,2.390000,2.360000,2.380000,2.380000,27761650
2021-03-11,2.380000,2.380000,2.350000,2.360000,2.360000,30763400
2021-03-12,2.360000,2.380000,2.350000,2.370000,2.370000,16922900
2021-03-15,2.380000,2.410000,2.380000,2.380000,2.380000,23508400
2021-03-16,2.390000,2.400000,2.370000,2.370000,2.370000,18439900
2021-03-17,2.380000,2.390000,2.370000,2.380000,2.380000,13331700
2021-03-18,2.390000,2.400000,2.380000,2.400000,2.400000,31810900
2021-03-19,2.400000,2.400000,2.380000,2.390000,2.390000,35911600
2021-03-22,2.380000,2.390000,2.360000,2.360000,2.360000,24224100
2021-03-23,2.370000,2.380000,2.350000,2.360000,2.360000,23069600
2021-03-24,2.360000,2.380000,2.350000,2.370000,2.370000,14714500
2021-03-25,2.380000,2.400000,2.370000,2.370000,2.370000,27282200
2021-03-26,2.380000,2.450000,2.380000,2.440000,2.440000,58455100
2021-03-29,2.460000,2.470000,2.440000,2.450000,2.450000,25459400
2021-03-30,2.480000,2.490000,2.450000,2.460000,2.460000,30146100
2021-03-31,2.470000,2.470000,2.430000,2.440000,2.440000,35680234
2021-04-01,2.450000,2.450000,2.420000,2.440000,2.440000,15657800
2021-04-05,2.460000,2.480000,2.460000,2.480000,2.480000,15515900
2021-04-06,2.480000,2.490000,2.460000,2.480000,2.480000,24821600
2021-04-07,2.490000,2.490000,2.450000,2.460000,2.460000,25861600
2021-04-08,2.450000,2.470000,2.430000,2.440000,2.440000,30850300
2021-04-09,2.440000,2.450000,2.430000,2.430000,2.430000,20634200
2021-04-12,2.430000,2.440000,2.400000,2.430000,2.430000,32524200
2021-04-13,2.420000,2.430000,2.400000,2.410000,2.410000,20000100
2021-04-14,2.420000,2.440000,2.410000,2.420000,2.420000,19580400
2021-04-15,2.420000,2.450000,2.410000,2.430000,2.430000,26908500
2021-04-16,2.430000,2.550000,2.430000,2.550000,2.550000,91357900
2021-04-19,2.570000,2.630000,2.560000,2.600000,2.600000,94072700
2021-04-20,2.600000,2.610000,2.530000,2.530000,2.530000,43429400
2021-04-21,2.530000,2.570000,2.510000,2.540000,2.540000,48519500
2021-04-22,2.550000,2.560000,2.520000,2.530000,2.530000,23901000
2021-04-23,2.520000,2.540000,2.500000,2.540000,2.540000,20649500
2021-04-26,2.540000,2.550000,2.520000,2.550000,2.550000,24582300
2021-04-27,2.540000,2.550000,2.510000,2.520000,2.520000,27657700
2021-04-28,2.510000,2.530000,2.500000,2.530000,2.530000,27611100
2021-04-29,2.520000,2.550000,2.520000,2.520000,2.520000,21407300
2021-04-30,2.520000,2.530000,2.500000,2.500000,2.500000,37541100
2021-05-03,2.500000,2.510000,2.450000,2.460000,2.460000,39094500
2021-05-04,2.470000,2.470000,2.440000,2.450000,2.450000,19843600
2021-05-05,2.440000,2.440000,2.400000,2.410000,2.410000,38771800
2021-05-06,2.430000,2.460000,2.420000,2.450000,2.450000,29864300
2021-05-07,2.450000,2.460000,2.430000,2.450000,2.450000,10889100
2021-05-10,2.450000,2.460000,2.430000,2.440000,2.440000,17872400
2021-05-11,2.410000,2.420000,2.400000,2.420000,2.420000,33836600
2021-05-12,2.400000,2.420000,2.390000,2.410000,2.410000,36555200
2021-05-14,2.360000,2.380000,2.310000,2.320000,2.320000,71641600
2021-05-17,2.320000,2.380000,2.300000,2.370000,2.370000,34206000
