year,cards_main,cards_supplementary,total_billings,rollover_balance,bad_debts_written_off,charge_off_rates
1989,418634,213103,1971.4,178.1,9.6,10.6
1990,534346,276362,2715.6,294.9,11.5,4.9
1991,683620,326186,3381.6,433,20.1,5.7
1992,716196,346415,3944.8,537.8,24,5
1993,838029,417613,4605.9,622.4,24.9,4.3
1994,964359,485665,5475.6,705.3,21.6,3.3
1995,1059408,536408,6152.8,825.5,19.8,2.6
1996,1117131,577394,6985.9,893.6,24,2.8
1997,1241104,626354,7915.1,1035.3,31.6,3.4
1998,1369089,681508,7689.1,1113.4,53.6,5
1999,1504531,725745,8941.9,1370.3,68.7,5.6
2000,1683983,775056,10536,1712,73.6,4.8
2001,1977001,836988,11037.3,2076.5,90.8,4.9
2002,2263876,958734,11901.3,2390.8,135.4,6.1
2003,2504252,987750,12422.9,2533.1,193.7,8
2004,2985973,946784,14046.5,2640.8,195.9,7.6
2005,3415507,1026516,16073.1,2842.1,137.1,5
2006,3967987,1121989,18639.9,2822.4,118.6,4.4
2007,4471517,1174595,22639.6,2979.4,108.9,3.9
2008,5055387,1222396,25662.2,3378.8,115.4,3.6
2009,5418553,1284064,26030.4,3702.1,183.9,5.2
2010,6141870,1378817,30941.9,4014.7,181.9,4.7
2011,6883993,1450282,35230.1,4537.9,186.7,4.4
2012,7843765,1502591,38419.2,4991.8,226.6,4.8
2013,7984608,1573936,41602.2,5362.9,247.8,4.8
2014,8183105,1553963,44582.4,5500.6,273.9,5.1
