month,cards_main,cards_supplementary,total_billings,rollover_balance
1991-01,543435,276974,270.4,297.1
1991-02,548887,281988,231.9,320.8
1991-03,561003,281872,229.5,311.2
1991-04,574342,286936,262.3,320.5
1991-05,589765,292965,277.3,324.6
1991-06,604904,298052,277.3,353.5
1991-07,623548,304635,297.2,348.4
1991-08,636782,310079,280.3,366.2
1991-09,650641,314964,278.6,380.3
1991-10,664181,318615,314.8,390.7
1991-11,675337,322021,306.5,420.5
1991-12,683620,326186,355.5,433
1992-01,681515,324794,336.4,430.4
1992-02,683230,326439,280.8,459.7
1992-03,683003,327523,294.8,451
1992-04,686206,327834,292.4,461.3
1992-05,680326,325909,296.7,466.2
1992-06,686520,328967,329.2,483.6
1992-07,690880,329482,332.2,475.8
1992-08,693898,331752,310.8,484.2
1992-09,697951,335943,330.6,492
1992-10,704957,338570,333.9,498.5
1992-11,708369,341266,364.8,527.5
1992-12,716196,346415,442.1,537.8
1993-01,718678,347866,363.4,552.4
1993-02,723859,347417,312.4,555.4
1993-03,730718,350055,348.6,526.4
1993-04,739389,353738,340.8,529.3
1993-05,750315,358772,365.1,535
1993-06,760916,364097,380.7,554.4
1993-07,773212,373154,389.7,553.3
1993-08,793296,386769,365.3,575.3
1993-09,806869,396139,389.3,576.3
1993-10,818825,403129,383.6,591
1993-11,828625,410693,442,614.3
1993-12,838029,417613,525.1,622.4
1994-01,842999,421509,439.3,641.9
1994-02,848547,425879,398.1,659.3
1994-03,846498,426151,466.1,634.6
1994-04,890378,433497,383.6,644.9
1994-05,902958,439631,422.5,642.6
1994-06,910300,444830,454.8,661.7
1994-07,919281,451375,430.8,654.6
1994-08,931930,464712,461.5,661.7
1994-09,942234,473457,459.7,678
1994-10,950944,479804,457.8,673.3
1994-11,957762,480784,509.8,697.9
1994-12,964359,485665,591.6,705.3
1995-01,965286,487810,492,717.4
1995-02,969620,490461,429.4,730.1
1995-03,978922,495344,474.3,689.6
1995-04,986309,499707,427.5,711.8
1995-05,1001560,503269,520.9,711.9
1995-06,1012272,509348,525.6,740.1
1995-07,1021075,513742,508.6,736
1995-08,1034693,520597,509.8,751.7
1995-09,1045824,526516,510.8,763.3
1995-10,1054028,530638,540.5,784.6
1995-11,1056437,533690,563.3,809.8
1995-12,1059408,536408,650.1,825.5
1996-01,1070245,540659,569.9,834.6
1996-02,1074283,543593,543.1,865.1
1996-03,1083320,547562,526.4,833.4
1996-04,1089064,548988,525.6,845
1996-05,1069346,543852,575.5,846.6
1996-06,1071920,550023,600.8,870.8
1996-07,1066976,557400,603.1,858.3
1996-08,1069897,560240,537.5,859.2
1996-09,1079952,567523,544.6,866.6
1996-10,1090482,565186,606,850.2
1996-11,1103133,570775,626.3,872.2
1996-12,1117131,577394,727.1,893.6
1997-01,1127272,582077,639.4,895.5
1997-02,1134601,585906,551.6,912.4
1997-03,1139711,586498,589.4,868.3
1997-04,1154499,593022,622.2,877
1997-05,1165160,598536,646.7,874.2
1997-06,1175249,602892,680.6,912.8
1997-07,1187556,607151,696.2,912.1
1997-08,1203082,613443,619.2,930
1997-09,1219230,620528,667.2,954.7
1997-10,1228173,622994,679.5,966.5
1997-11,1239895,627992,689.6,1007.5
1997-12,1241104,626354,833.5,1035.3
1998-01,1244526,626749,647.2,1074.3
1998-02,1248629,632564,567.9,1045.6
1998-03,1257609,635490,622.9,1006.3
1998-04,1272130,638729,606.2,1043.7
1998-05,1280852,640861,641.5,1042.7
1998-06,1288240,641173,670.2,1088.8
1998-07,1318957,652362,638.5,1066.8
1998-08,1333463,662007,594,1074.6
1998-09,1340084,666878,604.1,1078.6
1998-10,1344736,668297,634.4,1094.6
1998-11,1353012,665307,659,1119.7
1998-12,1369089,681508,803.2,1113.4
1999-01,1372493,684690,665.3,1118.8
1999-02,1375434,686011,630.6,1160.8
1999-03,1376733,695254,699.7,1142.6
1999-04,1382497,693241,661.2,1190.7
1999-05,1394930,699020,710.4,1197.8
1999-06,1414375,707145,807.4,1227.5
1999-07,1427717,711115,742.9,1223.7
1999-08,1436686,713288,710.1,1264.1
1999-09,1446054,713563,740.2,1295.1
1999-10,1459573,716597,756.2,1302.1
1999-11,1486304,722275,846.6,1344.5
1999-12,1504531,725745,971.3,1370.3
2000-01,1519241,729659,831.9,1420.6
2000-02,1525427,730172,750.7,1445.4
2000-03,1526868,729907,826.5,1388.3
2000-04,1543285,735409,775.3,1451.4
2000-05,1555964,738934,895,1432.3
2000-06,1574922,742519,895.8,1502.4
2000-07,1591243,747090,847.2,1509.5
2000-08,1608168,751227,858.3,1514.8
2000-09,1618908,751446,880.1,1582.3
2000-10,1639641,758272,906.1,1633.4
2000-11,1667136,765818,972.6,1747.1
2000-12,1683983,775056,1096.5,1712
2001-01,1694589,776185,927.2,1723.3
2001-02,1702744,777702,803.7,1757.6
2001-03,1720416,779627,901,1740.3
2001-04,1746225,785210,830.9,1740.7
2001-05,1775477,791195,982.3,1721.6
2001-06,1796490,791677,980.5,1813.7
2001-07,1832699,798963,920.4,1808.8
2001-08,1864172,805457,909.6,1849
2001-09,1910146,824424,849.3,1960.9
2001-10,1929690,831048,889.4,1930.6
2001-11,1952560,836042,944.8,2016.1
2001-12,1977001,836988,1098.2,2076.5
2002-01,1995883,843116,956.1,2065
2002-02,1995131,848333,884.9,2168.1
2002-03,2011895,858279,934.7,2094.1
2002-04,2027200,863545,967.1,2122.5
2002-05,2044167,868242,1005.6,2119.4
2002-06,2052944,870573,953.9,2231.6
2002-07,2076152,877143,993,2166.3
2002-08,2084701,883557,947.5,2229.1
2002-09,2097990,888530,951.5,2299.7
2002-10,2180301,928201,1042.9,2266.3
2002-11,2256050,958946,1066.7,2375.6
2002-12,2263876,958734,1197.4,2390.8
2003-01,2273267,959749,1073.2,2371.4
2003-02,2280360,991314,857.1,2479.3
2003-03,2276883,981324,978.9,2358.4
2003-04,2280051,979846,781.2,2383.9
2003-05,2286249,982891,914.8,2343.9
2003-06,2291883,992555,1050.1,2437.1
2003-07,2309831,994040,1067.4,2394.6
2003-08,2357395,972515,995.7,2422.6
2003-09,2369369,973055,1083.6,2441.7
2003-10,2413272,974724,1121,2428.8
2003-11,2445707,974239,1132.2,2551.5
2003-12,2504252,987750,1367.7,2533.1
2004-01,2534241,993120,1082.8,2552.9
2004-02,2561338,994356,1021.2,2518.2
2004-03,2578584,993630,1195.2,2434.9
2004-04,2591684,991966,1044.4,2551
2004-05,2623613,993909,1152.9,2520.7
2004-06,2678913,996968,1213.5,2485
2004-07,2742621,1003091,1131,2571
2004-08,2798615,1005903,1106.1,2593.7
2004-09,2900926,942958,1175.4,2614.7
2004-10,2928749,947121,1180.3,2614.4
2004-11,2946388,940182,1311.7,2674
2004-12,2985973,946784,1432,2640.8
2005-01,2995918,949956,1240.4,2677.3
2005-02,2992330,946673,1143.7,2686.6
2005-03,3001781,946612,1286.6,2620
2005-04,3020520,949051,1201.8,2677.2
2005-05,3051277,956335,1307.4,2668.6
2005-06,3100364,970022,1344.8,2720.8
2005-07,3148715,976458,1270.9,2735
2005-08,3185103,985122,1300,2739.8
2005-09,3227785,997135,1357.2,2790.1
2005-10,3272179,1007828,1433.6,2767.5
2005-11,3321330,1017898,1493.6,2854.5
2005-12,3415507,1026516,1693.2,2842.1
2006-01,3438624,1034493,1402.3,2728.6
2006-02,3478645,1041829,1328.7,2700.2
2006-03,3515951,1049920,1555.1,2538.9
2006-04,3571029,1057489,1384.9,2692
2006-05,3607154,1069459,1589.8,2597.9
2006-06,3651874,1079130,1561.6,2690.6
2006-07,3691297,1085914,1500.8,2643.7
2006-08,3704888,1094547,1495,2618.8
2006-09,3804757,1101801,1556.4,2720.2
2006-10,3854930,1110191,1671.3,2705.8
