financial_year,economic_sector,no_of_businesses,percentage_of_businesses_in_net_gst_refund_position,net_gst_contribution,percentage_of_net_gst_contribution
2004,Agriculture & Fishing,175,na,na,0.3
2004,Mining & Quarrying,23,na,na,0
2004,Manufacturing,7942,na,na,2.9
2004,Utilities,45,na,na,5.8
2004,Construction,5745,na,na,9.2
2004,Wholesale & Retail Trade,29765,na,na,44.3
2004,Hotels & Restaurants,1389,na,na,3.6
2004,Transport & Communications,3912,na,na,4.2
2004,Financial,2793,na,na,4.7
2004,Real Estate & Business Activities,10157,na,na,17.7
2004,Others,3613,na,na,7.3
2005,Agriculture & Fishing,103,na,na,0.2
2005,Mining & Quarrying,20,na,na,0.1
2005,Manufacturing,7803,na,na,0.9
2005,Utilities,166,na,na,6.8
2005,Construction,5552,na,na,9.3
2005,Wholesale & Retail Trade,30158,na,na,43.7
2005,Hotels & Restaurants,1304,na,na,3.7
2005,Transport & Communications,5980,na,na,7.4
2005,Financial,2879,na,na,6.9
2005,Real Estate & Business Activities,8525,na,na,11
2005,Others,3456,na,na,10
2006,Agriculture & Fishing,89,na,na,0.1
2006,Mining & Quarrying,20,na,na,0.1
2006,Manufacturing,8049,na,na,-3.6
2006,Utilities,185,na,na,8.7
2006,Construction,5842,na,na,9.4
2006,Wholesale & Retail Trade,30983,na,na,48.5
2006,Hotels & Restaurants,1496,na,na,4.5
2006,Transport & Communications,6374,na,na,7
2006,Financial,3058,na,na,1.9
2006,Real Estate & Business Activities,9154,na,na,9.2
2006,Others,4060,na,na,14.2
2007,Agriculture & Fishing,67,na,na,0.1
2007,Mining & Quarrying,19,na,na,-0.1
2007,Manufacturing,7957,na,na,-5.9
2007,Utilities,225,na,na,7.5
2007,Construction,6338,na,na,10.4
2007,Wholesale & Retail Trade,32399,na,na,42.8
2007,Hotels & Restaurants,1773,na,na,4.1
2007,Transport & Communications,6795,na,na,9.4
2007,Financial,3243,na,na,-1.8
2007,Real Estate & Business Activities,10371,na,na,14.4
2007,Others,4406,na,na,19.1
2008,Manufacturing,7778,29.3,na,-6.2
2008,Construction,6770,9.7,na,15.9
2008,Utilities,245,38,na,9.4
2008,Other Goods Industries,103,44.7,na,0.6
2008,Wholesale & Retail Trade,32189,38.4,na,44.9
2008,Hotels & Restaurants,1953,10.4,na,4.6
2008,Transport & Storage,3768,56.4,na,0
2008,Information & Communications,3235,26,na,7.5
2008,Financial,3491,45,na,1.1
2008,Real Estate & Business Activities,11134,26,na,12.4
2008,Others,4491,16.3,na,9.7
2009,Manufacturing,8546,22.1,na,3.1
2009,Construction,7074,7.5,na,17.3
2009,Utilities,256,31.1,na,4.6
2009,Other Goods Industries,125,35.7,na,3.2
2009,Wholesale & Retail Trade,31594,25.3,na,41.1
2009,Accommodation & Food Service Activities,2119,11.8,na,3.6
2009,Transportation & Storage,3931,52.4,na,1.9
2009,Information & Communications,3295,22.4,na,6.7
2009,Financial & Insurance Activities,3713,42.4,na,4
2009,Real Estate & Business Activities,11822,22.8,na,11.4
2009,Others,5075,17.6,na,3.1
2010,Manufacturing,8879,22.7,na,2
2010,Construction,7592,8,na,14.1
2010,Utilities,264,31.1,na,5
2010,Other Goods Industries,141,34,na,2
2010,Wholesale & Retail Trade,32172,25.8,na,35.5
2010,Accommodation & Food Service Activities,2336,11.1,na,3.7
2010,Transportation & Storage,4136,52.8,na,1.3
2010,Information & Communications,3445,22,na,6.3
2010,Financial & Insurance Activities,4570,46.6,na,2.6
2010,Real Estate & Business Activities,12731,22.9,na,15.6
2010,Others,5448,15,na,11.6
2011,Manufacturing,9131,22.7,198831,2.5
2011,Construction,7952,7.8,1155240,14.3
2011,Utilities,279,33.7,248014,3.1
2011,Other Goods Industries,160,42.5,222894,2.8
2011,Wholesale & Retail Trade,32176,25.4,2843090,35.1
2011,Accommodation & Food Service Activities,2460,10.6,356738,4.4
2011,Transportation & Storage,4237,52.3,92996,1.1
2011,Information & Communications,3507,22.9,536781,6.6
2011,Financial & Insurance Activities,5157,46.5,98063,1.2
2011,Real Estate & Business Activities,13401,23.9,851348,10.5
2011,Others,5630,14.7,1490525,18.4
2012,Manufacturing,9400,23.2,156178,1.8
2012,Construction,8374,8.4,1215147,13.9
2012,Utilities,308,32.1,61375,0.7
2012,Other Goods Industries,165,44.2,212636,2.4
2012,Wholesale & Retail Trade,32622,26,2971413,34
2012,Accommodation & Food Service Activities,2708,11.6,358235,4.1
2012,Transportation & Storage,4384,52.3,149898,1.7
2012,Information & Communications,3678,22.6,616147,7.1
2012,Financial & Insurance Activities,5947,47.6,341841,3.9
2012,Real Estate & Business Activities,14254,24.3,1447746,16.6
2012,Others,5962,15.7,1204502,13.8
2013,Manufacturing,9596,22.7,333545,3.6
2013,Construction,8805,8.3,1289968,13.7
2013,Utilities,312,30.8,268592,2.9
2013,Other Goods Industries,173,41,203425,2.2
2013,Wholesale & Retail Trade,32980,25.8,2777466,29.6
2013,Accommodation & Food Service Activities,2923,11.9,404994,4.3
2013,Transportation & Storage,4516,52.4,176659,1.9
2013,Information & Communications,3852,24.1,636361,6.8
2013,Financial & Insurance Activities,6453,45.1,413970,4.4
2013,Real Estate & Business Activities,15107,24.5,1497660,16
2013,Others,6304,14.8,1379611,14.7
2014,Manufacturing,9782,22.9,245341,2.5
2014,Construction,9283,8.5,1381768,14.3
2014,Utilities,326,31.9,288283,3
2014,Other Goods Industries,178,44.4,156441,1.6
2014,Wholesale & Retail Trade,32962,26,2966293,30.8
2014,Accommodation & Food Service Activities,3057,10.1,410016,4.3
2014,Transportation & Storage,4646,52.4,160650,1.7
2014,Information & Communications,4026,23.5,626117,6.5
2014,Financial & Insurance Activities,6740,41.7,354817,3.7
2014,Real Estate & Business Activities,15594,23.2,1684751,17.5
2014,Others,6466,13.8,1358876,14.1
2015,Manufacturing,9920,21.9,189337,1.8
2015,Construction,9805,7.5,1528362,14.7
2015,Utilities,345,28.1,306293,3
2015,Other Goods Industries,184,42.4,99955,1
2015,Wholesale & Retail Trade,33376,25.1,3005866,29
2015,Accommodation & Food Service Activities,3309,11.4,443751,4.3
2015,Transportation & Storage,4754,51.2,179316,1.7
2015,Information & Communications,4237,22.7,705642,6.8
2015,Financial & Insurance Activities,7013,38.3,668134,6.4
2015,Real Estate & Business Activities,16315,21.9,1777276,17.1
2015,Others,6968,13.3,1461004,14.1
2016,Manufacturing,9937,21.7,181311,1.7
2016,Construction,10076,7.3,1525014,14.6
2016,Utilities,365,28.8,273870,2.6
2016,Other Goods Industries,198,41.4,99564,1
2016,Wholesale & Retail Trade,33233,24.5,3087519,29.5
2016,Accommodation & Food Service Activities,3538,10.2,456835,4.4
2016,Transportation & Storage,4766,50.5,307374,2.9
2016,Information & Communications,4381,22.3,704498,6.7
2016,Financial & Insurance Activities,7155,36.5,479862,4.6
2016,Real Estate & Business Activities,16777,21,2097538,20.1
2016,Others,7190,13.1,1242911,11.9
2017,Manufacturing,9933,21.3,287985,2.6
2017,Construction,10196,8,1244066,11.2
2017,Utilities,370,26.2,233689,2.1
2017,Other Goods Industries,199,44.7,124687,1.1
2017,Wholesale & Retail Trade,33088,24.2,3148553,28.4
2017,Accommodation & Food Service Activities,3706,9.4,477857,4.3
2017,Transportation & Storage,4825,49.3,322678,2.9
2017,Information & Communications,4608,22.7,784062,7.1
2017,Financial & Insurance Activities,7284,34.9,737666,6.7
2017,Real Estate & Business Activities,17080,21,2210594,19.9
2017,Others,7529,12,1520467,13.7
2018,Manufacturing,9883,20.8,248419,2.3
2018,Construction,10203,7.8,1196978,10.9
2018,Utilities,411,28.2,266213,2.4
2018,Other Goods Industries,209,46.9,157597,1.4
2018,Wholesale & Retail Trade,32880,24,3242635,29.6
2018,Accommodation & Food Service Activities,3831,9.5,502403,4.6
2018,Transportation & Storage,4782,48.7,360174,3.3
2018,Information & Communications,4816,23.5,845156,7.7
2018,Financial & Insurance Activities,7511,35.1,572385,5.2
2018,Real Estate & Business Activities,17476,20.2,2264744,20.7
2018,Others,7725,11.2,1283761,11.7
2019,Manufacturing,9899,20.2,310120,2.8
